### Vereinheitlichte Evaluationsstatistik ###
Metric	Correct	Gold Total	System Total	Aligned	Precision (%)	Recall (%)	F1-Score (%)
Tokens	118379	118379	118379	118379	100.00	100.00	100.00
Sentences	19416	19416	19416	19416	100.00	100.00	100.00
Words	118379	118379	118379	118379	100.00	100.00	100.00
UPOS	115467	118379	118379	118379	97.54	97.54	97.54
XPOS	115720	118379	118379	118379	97.75	97.75	97.75
UFeats	109221	118379	118379	118379	92.26	92.26	92.26
AllTags	108240	118379	118379	118379	91.44	91.44	91.44
Lemmas	116325	118379	118379	118379	98.26	98.26	98.26
UAS	96715	118379	118379	118379	81.70	81.70	81.70
LAS	87570	118379	118379	118379	73.97	73.97	73.97
CLAS	48727	75380	75716	75380	64.35	64.64	64.50
MLAS	42716	75380	75716	75380	56.42	56.67	56.54
BLEX	47954	75380	75716	75380	63.33	63.62	63.47
