H3 Content	OS Content	GK Content
<001r1><001r2><001r3><001r4>	мꙑи҅хъ бо о҅тъ бога ѥ҅свѣ· твоѥи бо доуши погꙑбѣль҆ прѣо҅долѣ дожи и҆ до съмрь҆ти· не добрѣ мѫдровати на цѣломѫдрованиѥ къ богоу·	... (τῶν γὰρ σωζο)μένων ὑπὸ τοῦ θεοῦ ἐσμεν· σοῦ δὲ τῆς ψυχῆς ἀπώλεια ἐκυρίευσεν ἕως θανάτου, μὴ εὐφρονῆσαι εἰς τὸ σωφρονῆσαι·
<001r5><001r6><001r7><001r8><001r9><001r10><001r11><001r12><001r13> <001r14><001r15><001r16><001r17><001r18><001r19><001r20><001r21>	много бо бѣсованиѥ҅ ѥ҅же отъ тебе томьѥниѥ въвръже тꙙ въ хоулѫ· а҅гⸯг҄ела бо ѥ҅гоже посъла г꙯ь ї꙯с х꙯с и҅ б꙯ъ· ꙁагради о҄уста плѣжѫштиїхъ· ѥ҅гоже тꙑ свои҅мъ прѣꙁорь҆ствомъ прѣложи въ аполона· и҅ раꙁгнѣвавъ сꙙ а҅урилиꙗнъ повелѣ съвалъмꙑ оловѣнꙑ биті ꙗ по челюстьма· глагол҄ѧ ѥ҅моу не ѫ҅родьно и҅ прѣꙁорь҆но о҅тъвѣштаваи҆· вѣдꙑ ꙗ҅ко прѣдъ цѣсаремь стои҅ши · и о҅тъведъ паѵла свѣн҄е сѫдиїшта пріꙁъвавъ и҅о҄улиꙗ҅ниѭ҄ рече къ н҄еи· владꙑчице моѥ҅ѧ дш꙯ꙙ и҅о҄улиꙗниѥ· о҄умол҄ена бꙑвⸯши о҅тъ мене· не прѣл҄ьштаи сꙙ боуѥстиѭ҄ павь҆ла брата своѥ҅го· виждѫ бо тꙙ дѣвицѫ мѫдрѫ сѫштѫ· и҅ мⸯногѫ прѣмѫдрость имѫштѫ·	ἡ γὰρ πολλή σου τῆς τυραννίδος μανία ἔτρεψέν σε εἰς βλασφημίαν· τὸν γὰρ ἄγγελον, ὃν ἀπέστειλεν ὁ κύριος Ἰησοῦς Χριστός, ἐμφράξαι τὰ στόματα τῶν ἑρπετῶν, σὺ τῇ οἰκείᾳ ὑπερηφανίᾳ μετέβαλες εἰς Ἀπόλλονα”. Καὶ χολέσας Αὐριλλιανὸς ἐκέλευσεν βώλοις μολίβδου τύπτεσθαι αὐτοῦ τὰς σιαγόνας λέγων αὐτῷ· „Μὴ ἀφρόνως και ὑπερηφάνως φθέγγου, εἰδὼς ὅτι βασιλεῖ παρέστηκας”. Καὶ μεταστήσας τὸν Παῦλον ἀπὸ τοῦ βήματος προσκαλεσάμενος τὴν Ἰουλιανὴν εἶπεν αὐτῇ· „Δέσποινα τῆς ἐμῆς ψυχῆς Ἰουλιανή, παρακληθεῖσα παρ' ἐμοῦ, μὴ συναπάγου τῇ μωρίᾳ Παύλου τοῦ ἀδελφοῦ σου·ὁρῶ γάρ σε παῖδα φρονιμωτάτην οὖσαν, πολλῆς σοφίας μετέχουσαν·
<001r22><001r23><001r24><001r25><001r26><001r27><001r28><001r29><001r30><001v1><001v2><001v3><001v4><001v5><001v6>	да о҄утѣшивъши сꙙ послоушаи҆ мене· и бѫдеши владꙑчица моѥ҄и дш꙯и· и обраꙁꙑ ꙁлатꙑ поставьѭ҄ ти по вь҆сꙙ градꙑ вь҆сеѧ вь҆сел҄енꙑѧ҆· о҅тъвѣштавъши же и҅о҄улиꙗни рече· не о҅тъвръгѫ сꙙ аурилиꙗ҅не томителю и҅ непрѣподобьне· не прѣль҆стиши рабꙑ бога вꙑшьнꙗаго· не примꙑшлꙗи҅ ми съмрьти вѣчь҆нꙑѧ лишити мꙙ хотꙙ славꙑ хс꙯овꙑ· и цѣсарьства небесънааго· ѥ҅гоже тꙑ штоуждъ ѥ҅си· и҅ о҅тъведⸯ ѭ҄ повелѣ прити паулоу· и҅ рече ѥ҅моу павьле· и҅о҄улиꙗни сестра твоꙗ о҅бѣшта сꙙ пожрь҆ти богомъ· и҅ бꙑти ѥ҅и҆ женѣ ми и госпожди цѣсарь҆ствоу моѥ҅моу·	διὸ παρακληθεῖσα πείσθητί μοι καὶ στήλας χρυσᾶς στήσω σου κατὰ πᾶσαν πόλιν τῆς οἰκουμένης”.Ἰουλιανὴ εἶπεν· „Οὐκ ἀπατᾷςμε, Αὐριλλιανὲ τύραννε καὶ ἀνόσιε, οὐκ ἀπατᾷς τὴν δούλην τοῦ θεοῦ τοῦ ὑψίστου· μή μοι ἐπινόει θάνατον αἰώνιον ἀποστερεῖν με βουλόμενος τῆς δόξης τοῦ θεοῦ καὶ τῆς βασιλείας τῶν οὐρανῶν, ἧς σὺ ἀλλότριος... τυγχάνεις”. Καὶ μεταστήσας αὐτήν... ἐκέλευσεν τὸν Παῦλον ἀχθῆναι καὶ λέγει αὐτῷ· „Παῦλε, ἰδοὺ ἡ ἀδελφή σου ὑπέσχετό μοι θύειν τοῖς θεοῖς καὶ γενέσθαι μοι εἰς γυναῖκα καὶ δέσποιναν τῆς ἐμῆς βασιλείας·
<001v7><001v8><001v9><001v10><001v11><001v12><001v13><001v14><001v15><001v16>	въсхошти о҄убо и҅ тꙑ тожде мѫдроваті и҅ пристѫпивъ пожь҆ри богомъ· паулъ рече· правь҆ сълъга· ничесоже штоужда сътвори нао҄учениꙗ о҅ть҆ца твоѥ҅го диꙗвола· не можеши бо никогоже о҅тътръгнѫти· раꙁвѣ лъжеѭ҄· насъ же не и҅маши въсхꙑтити· а҅ште и҅ цѣсарь҆ство намъ о҅бѣштаваѥ҅ши· ѥ҅гоже тꙑ лихъ ѥси· а҅урилиꙗ҅нъ рече · доколѣ досаждаѥ҅ши не срамь҆ꙗ҅ѧ҅ сꙙ ѫ҅роде и҅ беꙁоумь҆лю·	θέλησον οὖν καὶ αὐτὸς πεισθῆναι καὶ θῦσαι τοῖς θεοῖς”. Παῦλος εἶπεν· „Ὀρθῶς ἐψεύσω... καὶ οὐδὲν ξένον πεποίηκας τῆς μαθήσεως τοῦ πατρός σου τοῦ διαβόλου,... οὔτε γὰρ δύνασθέ τινα συναρπάσαι, εἰ μὴ διὰ τοῦ ψεύδους· ἡμᾶς δὲ οὐσυναρπάσεις οὐδ' ἂν βασιλείαν ἡμῖν οὐρανῶν ἐπαγγέλλῃ, ἧς σὺ ξένος καὶ ἀλλότριος τυγχάνεις“. Αὐριλλιανὸς εἶπεν· ,,Ἕως πότε ὑβρίζεις οὐκ αἰσχυνόμενος, λῆρε καὶ ἀφρονέστατε.
<001v17><001v18><001v19><001v20><001v21><001v22><001v23><001v24>	тако ми богꙑ а҅ꙁъ ва имамъ мѫчити· да никⸯтоже въꙁможетъ помошти вама· и҅ повелѣ принести о҅гн҄ь· и҅ полицꙙ желѣꙁнꙑ· и҅ въложити ѧ въ огн҄ь· и паулоу съвꙙꙁати рѫцѣ и҅ ноꙁѣ· и҅ колъ желѣꙁнъ въврѣти междоу рѫкама и҅ ногама· и҅ вънъꙁнѫти вь҆ ꙁемьѭ҄· и҅ дⸯвѣма митѣ палицама нама биті и҆·	Μὰ τοὺς θεούς, ἐγὼ ὑμᾶς βασανίσω, ὅπως μηδεὶς δυνηθῇ ἐξελέσθαι ὑμᾶς“...Καὶ ἐκέλευσεν... ἐνεχθῆναι πῦρ καὶ... ῥάβδους σιδηρᾶς καὶ ἐμβληθῆναι αὐτὰς εἰς τὸ πῦρ... καὶ...δεθῆναι τοῦ Παύλου τὰς χεῖρας καὶ τοὺς πόδας καὶ πάσσαλον σιδηροῦν βληθῆναι ἀναμέσον τῶν χειρῶν αὐτοῦ καὶ τῶν ποδῶν καὶ καταπαρῆναι εἰς τὴν γῆν καὶ οὕτως δύοπαρὰ δύο ῥάβδοις πεπυρωμέναις τύπτεσθαι αὐτόν.
<001v25><001v26><001v27><001v28><001v29>	иїо҄улиꙗ҅ниѭ҄ повелѣ поставити на блѫдилишти· рекⸯше на цѧтои҅мь҆ствѣ· и мⸯноꙁи о҅тъ стоѧ҅штааго тоу народа· бѣа҅хѫ текѫште· и҅ рь҆въноуѭ҄ште кꙋпьно· кⸯто прь҆воѥ҆ вьнидеть҆ къ н҄еи҆·	Τὴν δὲ Ἰουλιανὴν ἐκέλευσεν στῆναι ἐν πορνείῳ. Καὶ πολλοὶ τῶν περιεστώτων ὄχλων... ἦσαν τρέχοντες ἐρίζοντες πρὸς ἀλλήλους, τίς πρῶτος εἰσέλθῃ πρὸς αὐτήν·
<001v30><002r1><002r2><002r3><002r4><002r5>	бѣа҅хѫ бо ꙗ҅ко кон҄и ръжѫште о҅ добротѣ ѥѧ· ставⸯши же ѥ҅и на мѣстѣ на н҄емⸯже повелѣ а҅урилиꙗнъ· и҅ абиѥ а҆гⸯг҄елъ г꙯нь прѣдъста прѣдъ н҄еѭ҄· глаголꙙ · не о҄убои҆ сѧ и҅оулиꙗ҅ни· г꙯ь бо їс꙯ х꙯с ѥ҅моуже тꙑ слоужиши посъла мꙙ покрꙑти тꙙ·	ἦσαν γὰρ ὡς ἵπποι χρεμετίζοντες ἐπὶ τῷ κάλλει αὐτῆς. Σταθείσης δὲ αὐτῆς ἐν τῷ τόπῳ, ᾧ προσέταξεν Αὐριλλιανός, εὐθὺς ἄγγελος κυρίου... παρέστη αὐτῇ καὶ ἔφη πρὸς αὐτήν· „Μὴ φοβοῦ, Ἰουλιανή, ὁ γὰρ κύριος Ἰησοῦς Χριστός, ᾧ σὺ λατρεύεις, ἀπέσταλκέν με σκεπάσαι σε
<002r6><002r7><002r8><002r9><002r10><002r11><002r12><002r13><002r14><002r15><002r16><002r17>	и покаꙁати свꙙтоѥ и҅мꙙ ѥго вь҆сѣмъ боѧ҅штиїмъ сꙙ ѥ҅го· и ꙗ҅ко отъ желаниꙗ къ и҅ю҄лиꙗ҆ниї течаа҅хѫ народи вь҆си· а҅гⸯг҄елъ же о҅тътрꙙсъ прахъ ꙗ҅ко о҅тъ ногъ и҆хъ· о҅слѣпи ѧ и҅ не вѣдѣа҅хѫ камо и҅дѫтъ· и҅ не можаа҅хѫ приближити сꙙ ѥ҅и· и҅ вь҆пиꙗ҅хѫ вь҆си народи коупⸯно глагол҄҄ѫште· великъ богъ паул҄ь и҅ їо҄улиꙗнинъ· иже вь҆сь҆де съпасъ и покровител҄ь боѧштиїхъ сꙙ ѥ҅го· и҅ прѣбꙑвахѫ ѥ҅ште слѣпи· пришьдъше же покланꙗа҆хѫ сꙙ ѥ҅и҆· вь҆пиѭ҄ште и҅ глагол҄ѫште·	καὶ γνωρίσαι τὸ ὄνομα αὐτοῦ τὸ ἅγιον πᾶσι τοῖς φοβουμένοις αὐτόν”. Ὡς δὲ προσήρχοντοοἱ ὄχλοι πρὸς αὐτὴν βουλόμενοι ἀπολαύειν τοῦ κάλλους αὐτῆς, ἄγγελος ἐξετίναξεν τὸν κονιορτὸν ἀπὸ τῶν ποδῶν αὐτοῦ ἐπ' αὐτοὺς καὶ ἐτύφλωσεν αὐτούς. Καὶ οὐκ ᾔδεισαν, ποῦ πορεύονται οὔτε ἠδύναντο πλησιάσαι αὐτῇ. Οἱ δὲ ὄχλοι... ἐβόων ὁμοθυμαδὸν λέγοντες· „Μέγας ὁ θεὸς Παύλου καὶ Ἰουλιανῆς, ὃς πανταχοῦ σωτὴρ καὶ σκεπαστὴς γίνεται τοῖς φοβουμένοις αὐτόν”. Οἱ μὲνοὖν τυφλωθέντες ἐγονυπέτουν αὐτῇ βοῶντες καὶ λέγοντες·
<002r18><002r19><002r20><002r21><002r22><002r23>	и҅о҄улиꙗ҅ниѥ рабо б꙯а вꙑшь҆нꙗго· съгрѣшихомъ прѣдъ тобоѭ҄ ѫ҅родъскꙑ· нъ простивъши нꙑ ꙗ҅ко блага бога слоужител҄ьница· помоли сꙙ хс꙯оу да подастъ намъ видѣниꙗ҅· Ст꙯аа҅ же и҅о҄улиꙗ҅ни милосрь҆довавъши вь҆ꙁꙙ водꙑ мало·	„Ἰουλιανή, δούλη τοῦ θεοῦ τοῦ ὑψίστου, ἡμάρτομεν ἐνώπιόν σου παραφρονήσαντες, ἀλλὰ συγχώρησоν ἡμῖν ὡς ἀγαθοῦ θεоῦ ὑπηρέτις καὶ εὖξαι τῷ Χριστῷ σου, ἵνα χαρίσηται ἡμῖν τὸ βλέπειν”. Ἡ δὲ Ἰουλιανὴ σπλαγχνισθεῖσα... ἔλαβεν ὕδωρ βραχὺ
<002r24><002r25><002r26><002r27><002r28><002r29><002r30>	и въꙁведⸯши о҅чи свои на небо· помоли сꙙ богоу глагол҄ѫшти· г꙯и їс꙯ х꙯се сп꙯се вьсѣхъ чл꙯къ· о҄услꙑши мене и҅ покажи· чоудеса своꙗ҅ ꙗ҅же твориши сн꙯омъ чловѣчьскомъ· и҅ даръствоуи҆ и҆мъ видѣниѥ҆· да прославꙙтъ с꙯тоѥ и҅ прѣхваль҆ноѥ и҅мꙙ твоѥ҆· и҅ тако покропи вь҆сь народⸯ·	καὶ ἀνατείνασα τοὺς ὀφθαλμοὺς αὐτῆς εἰς τὸν οὐρανὸν ἐπεκαλέσατο τὸν θεὸν λέγουσα· „Κύριε Ἰησοῦ Χριστέ, ὁ σωτὴρ τῶν ἁπάντων, ἐπάκουσόν μου καὶ δεῖξόν σου... τὰ θαυμάσια καὶ τὰ τεράστια, ἃ ποιεῖς δι' ἡμᾶς τοὺς υἱοὺς τῶν ἀνθρώπων, καὶ χάρισαι αὐτοῖς τὸ βλέπειν, ὅπως δοξασθῇ σου τὸ ἅγιον καὶ ἔνδοξον ὄνομα”. Καὶ οὕτως διέρενε τὸ ὕδωρ ἐπάνω τῶν ὄχλων.
