H3 Content	OS Content	GK Content
<001r>	мꙑи҅хъ бо о҅тъ бога ѥ҅свѣ· твоѥи бо	... (τῶν γὰρ σωζο)μένων ὑπὸ τοῦ θεοῦ ἐσμεν· σοῦ δὲ
<001r>	доуши погꙑбѣль҆ прѣо҅долѣ дожи	τῆς ψυχῆς ἀπώλεια ἐκυρίευσεν
<001r>	и҆ до съмрь҆ти· не добрѣ мѫдрова-	ἕως θανάτου, μὴ εὐφρονῆ-
<001r>	ти на цѣломѫдрованиѥ къ богоу·	σαι εἰς τὸ σωφρονῆσαι·
<001r>	много бо бѣсованиѥ҅ ѥ҅же отъ тебе то-	ἡ γὰρ πολλή σου τῆς τυραννίδος μα-
<001r>	мьѥниѥ въвръже тꙙ въ хоулѫ· а҅гⸯг҄е-	νία ἔτρεψέν σε εἰς βλασφημίαν· τὸν γὰρ ἄγγε-
<001r>	ла бо ѥ҅гоже посъла г꙯ь ї꙯с х꙯с и҅ б꙯ъ· ꙁагра-	λον, ὃν ἀπέστειλεν ὁ κύριος Ἰησοῦς Χριστός, ἐμφρά-
<001r>	ди о҄уста плѣжѫштиїхъ· ѥ҅гоже тꙑ	ξαι τὰ στόματα τῶν ἑρπετῶν, σὺ
<001r>	свои҅мъ прѣꙁорь҆ствомъ прѣложи въ	τῇ οἰκείᾳ ὑπερηφανίᾳ μετέβαλες εἰς
<001r>	аполона· и҅ раꙁгнѣвавъ сꙙ а҅урилиꙗ-	Ἀπόλλονα”. Καὶ χολέσας Αὐριλλια-
<001r>	нъ повелѣ съвалъмꙑ оловѣнꙑ биті	νὸς ἐκέλευσεν βώλοις μολίβδου τύπτεσθαι
<001r>	ꙗ по челюстьма· глагол҄ѧ ѥ҅моу не ѫ҅ро-	αὐτοῦ τὰς σιαγόνας λέγων αὐτῷ· „Μὴ ἀ-
<001r>	дьно и҅ прѣꙁорь҆но о҅тъвѣштаваи҆·	φρόνως και ὑπερηφάνως φθέγγου,
<001r>	вѣдꙑ ꙗ҅ко прѣдъ цѣсаремь стои҅ши ·	εἰδὼς ὅτι βασιλεῖ παρέστηκας”.
<001r>	и о҅тъведъ паѵла свѣн҄е сѫдиїшта прі-	Καὶ μεταστήσας τὸν Παῦλον ἀπὸ τοῦ βήματος προσ-
<001r>	ꙁъвавъ и҅о҄улиꙗ҅ниѭ҄ рече къ н҄еи·	καλεσάμενος τὴν Ἰουλιανὴν εἶπεν αὐτῇ·
<001r>	владꙑчице моѥ҅ѧ дш꙯ꙙ и҅о҄улиꙗниѥ·	„Δέσποινα τῆς ἐμῆς ψυχῆς Ἰουλιανή,
<001r>	о҄умол҄ена бꙑвⸯши о҅тъ мене· не прѣл҄ь-	παρακληθεῖσα παρ' ἐμοῦ, μὴ συν-
<001r>	штаи сꙙ боуѥстиѭ҄ павь҆ла брата сво-	απάγου τῇ μωρίᾳ Παύλου τοῦ ἀδελφοῦ σου·
<001r>	ѥ҅го· виждѫ бо тꙙ дѣвицѫ мѫдрѫ сѫ-	ὁρῶ γάρ σε παῖδα φρονιμωτάτην οὖ-
<001r>	штѫ· и҅ мⸯногѫ прѣмѫдрость имѫштѫ·	σαν, πολλῆς σοφίας μετέχουσαν·
<001r>	да о҄утѣшивъши сꙙ послоушаи҆ мене·	διὸ παρακληθεῖσα πείσθητί μοι
<001r>	и бѫдеши владꙑчица моѥ҄и дш꙯и· и о-	καὶ στή-
<001r>	браꙁꙑ ꙁлатꙑ поставьѭ҄ ти по вь҆сꙙ	λας χρυσᾶς στήσω σου κατὰ πᾶσαν
<001r>	градꙑ вь҆сеѧ вь҆сел҄енꙑѧ҆· о҅тъвѣшта-	πόλιν τῆς οἰκουμένης”.
<001r>	въши же и҅о҄улиꙗни рече· не о҅тъвръ-	Ἰουλιανὴ εἶπεν· „Οὐκ ἀπατᾷς
<001r>	гѫ сꙙ аурилиꙗ҅не томителю и҅ непрѣ-	με, Αὐριλλιανὲ τύραννε καὶ ἀνό-
<001r>	подобьне· не прѣль҆стиши рабꙑ бо-	σιε, οὐκ ἀπατᾷς τὴν δούλην τοῦ θε-
<001r>	га вꙑшьнꙗаго· не примꙑшлꙗи҅ ми	οῦ τοῦ ὑψίστου· μή μοι ἐπινόει
<001r>	съмрьти вѣчь҆нꙑѧ лишити мꙙ хотꙙ	θάνατον αἰώνιον ἀποστερεῖν με βουλόμενος
<001v>	славꙑ хс꙯овꙑ· и цѣсарьства небесънаа-	τῆς δόξης τοῦ θεοῦ καὶ τῆς βασιλείας τῶν οὐρα-
<001v>	го· ѥ҅гоже тꙑ штоуждъ ѥ҅си· и҅ о҅тъведⸯ	νῶν, ἧς σὺ ἀλλότριος... τυγχάνεις”. Καὶ μεταστήσας
<001v>	ѭ҄ повелѣ прити паулоу· и҅ рече ѥ҅моу	αὐτήν... ἐκέλευσεν τὸν Παῦλον ἀχθῆναι καὶ λέγει αὐτῷ·
<001v>	павьле· и҅о҄улиꙗни сестра твоꙗ о҅бѣшта	„Παῦλε, ἰδοὺ ἡ ἀδελφή σου ὑπέσχετό μοι
<001v>	сꙙ пожрь҆ти богомъ· и҅ бꙑти ѥ҅и҆ женѣ	θύειν τοῖς θεοῖς καὶ γενέσθαι μοι εἰς γυναῖκα
<001v>	ми и госпожди цѣсарь҆ствоу моѥ҅моу·	καὶ δέσποιναν τῆς ἐμῆς βασιλείας·
<001v>	въсхошти о҄убо и҅ тꙑ тожде мѫдроваті	θέλησον οὖν καὶ αὐτὸς πεισθῆναι
<001v>	и҅ пристѫпивъ пожь҆ри богомъ· паулъ	καὶ θῦσαι τοῖς θεοῖς”. Παῦλος
<001v>	рече· правь҆ сълъга· ничесоже штоу-	εἶπεν· „Ὀρθῶς ἐψεύσω... καὶ οὐδὲν ξέ-
<001v>	жда сътвори нао҄учениꙗ о҅ть҆ца твоѥ҅го	νον πεποίηκας τῆς μαθήσεως τοῦ πατρός σου
<001v>	диꙗвола· не можеши бо никогоже о҅тъ-	τοῦ διαβόλου,... οὔτε γὰρ δύνασθέ τινα συν-
<001v>	тръгнѫти· раꙁвѣ лъжеѭ҄· насъ же не и҅-	αρπάσαι, εἰ μὴ διὰ τοῦ ψεύδους· ἡμᾶς δὲ οὐ
<001v>	маши въсхꙑтити· а҅ште и҅ цѣсарь҆ство	συναρπάσεις οὐδ' ἂν βασιλείαν
<001v>	намъ о҅бѣштаваѥ҅ши· ѥ҅гоже тꙑ лихъ	ἡμῖν οὐρανῶν ἐπαγγέλλῃ, ἧς σὺ ξένος καὶ ἀλλότριος
<001v>	ѥси· а҅урилиꙗ҅нъ рече · доколѣ досажда-	τυγχάνεις“. Αὐριλλιανὸς εἶπεν· ,,Ἕως πότε ὑβρί-
<001v>	ѥ҅ши не срамь҆ꙗ҅ѧ҅ сꙙ ѫ҅роде и҅ беꙁоумь҆лю·	ζεις οὐκ αἰσχυνόμενος, λῆρε καὶ ἀφρονέστατε.
<001v>	тако ми богꙑ а҅ꙁъ ва имамъ мѫчити·	Μὰ τοὺς θεούς, ἐγὼ ὑμᾶς βασανίσω,
<001v>	да никⸯтоже въꙁможетъ помошти ва-	ὅπως μηδεὶς δυνηθῇ ἐξελέσθαι ὑ-
<001v>	ма· и҅ повелѣ принести о҅гн҄ь· и҅ полицꙙ	μᾶς“...Καὶ ἐκέλευσεν... ἐνεχθῆναι πῦρ καὶ... ῥάβδους
<001v>	желѣꙁнꙑ· и҅ въложити ѧ въ огн҄ь· и па-	σιδηρᾶς καὶ ἐμβληθῆναι αὐτὰς εἰς τὸ πῦρ... καὶ...
<001v>	улоу съвꙙꙁати рѫцѣ и҅ ноꙁѣ· и҅ колъ же-	δεθῆναι τοῦ Παύλου τὰς χεῖρας καὶ τοὺς πόδας καὶ πάσσαλον σιδη-
<001v>	лѣꙁнъ въврѣти междоу рѫкама и҅ но-	ροῦν βληθῆναι ἀναμέσον τῶν χειρῶν αὐτοῦ καὶ τῶν πο-
<001v>	гама· и҅ вънъꙁнѫти вь҆ ꙁемьѭ҄· и҅ дⸯвѣ-	δῶν καὶ καταπαρῆναι εἰς τὴν γῆν καὶ οὕτως δύο
<001v>	ма митѣ палицама нама биті и҆·	παρὰ δύο ῥάβδοις πεπυρωμέναις τύπτεσθαι αὐτόν.
<001v>	иїо҄улиꙗ҅ниѭ҄ повелѣ поставити на блѫ-	Τὴν δὲ Ἰουλιανὴν ἐκέλευσεν στῆναι ἐν πορ-
<001v>	дилишти· рекⸯше на цѧтои҅мь҆ствѣ·	νείῳ.
